#Data tag : online , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/fb),recorded(/fb),avgpu,source
402816:11589,139:139,04/11/26 19:26:34,STABLE BEAMS,6799,0.000039509,0.000038657,4.9,HFET
402816:11589,140:140,04/11/26 19:26:57,STABLE BEAMS,6799,0.000039720,0.000038855,5.0,HFET
402816:11589,141:141,04/11/26 19:27:21,STABLE BEAMS,6799,0.000039802,0.000038937,5.0,HFET
402816:11589,142:142,04/11/26 19:27:44,STABLE BEAMS,6799,0.000039640,0.000038775,4.9,HFET
402816:11589,143:143,04/11/26 19:28:07,STABLE BEAMS,6799,0.000039717,0.000038855,5.0,HFET
402816:11589,144:144,04/11/26 19:28:31,STABLE BEAMS,6799,0.000039671,0.000038254,4.9,HFET
402816:11589,145:145,04/11/26 19:28:54,STABLE BEAMS,6799,0.000039748,0.000038860,5.0,HFET
402816:11589,146:146,04/11/26 19:29:17,STABLE BEAMS,6799,0.000039825,0.000038955,5.0,HFET
402816:11589,147:147,04/11/26 19:29:41,STABLE BEAMS,6799,0.000040272,0.000039379,5.0,HFET
402816:11589,148:148,04/11/26 19:30:04,STABLE BEAMS,6799,0.000040600,0.000039692,5.1,HFET
402816:11589,149:149,04/11/26 19:30:27,STABLE BEAMS,6799,0.000040993,0.000040066,5.1,HFET
402816:11589,150:150,04/11/26 19:30:51,STABLE BEAMS,6799,0.000041104,0.000040165,5.1,HFET
402816:11589,151:151,04/11/26 19:31:14,STABLE BEAMS,6799,0.000041304,0.000040367,5.1,HFET
402816:11589,152:152,04/11/26 19:31:37,STABLE BEAMS,6799,0.000041155,0.000040216,5.1,HFET
402816:11589,153:153,04/11/26 19:32:00,STABLE BEAMS,6799,0.000040901,0.000039983,5.1,HFET
402816:11589,154:154,04/11/26 19:32:24,STABLE BEAMS,6799,0.000041022,0.000040084,5.1,HFET
402816:11589,155:155,04/11/26 19:32:47,STABLE BEAMS,6799,0.000041109,0.000040169,5.1,HFET
402816:11589,156:156,04/11/26 19:33:10,STABLE BEAMS,6799,0.000040814,0.000039893,5.1,HFET
402816:11589,157:157,04/11/26 19:33:34,STABLE BEAMS,6799,0.000040928,0.000039428,5.1,HFET
402816:11589,158:158,04/11/26 19:33:57,STABLE BEAMS,6799,0.000040492,0.000039583,5.0,HFET
402816:11589,159:159,04/11/26 19:34:20,STABLE BEAMS,6799,0.000039850,0.000038975,5.0,HFET
402816:11589,160:160,04/11/26 19:34:44,STABLE BEAMS,6799,0.000039415,0.000038557,4.9,HFET
402816:11589,161:161,04/11/26 19:35:07,STABLE BEAMS,6799,0.000039515,0.000038646,4.9,HFET
402816:11589,162:162,04/11/26 19:35:30,STABLE BEAMS,6799,0.000039627,0.000038759,4.9,HFET
402816:11589,163:163,04/11/26 19:35:54,STABLE BEAMS,6799,0.000039585,0.000038716,4.9,HFET
402816:11589,164:164,04/11/26 19:36:17,STABLE BEAMS,6799,0.000039889,0.000039020,5.0,HFET
402816:11589,165:165,04/11/26 19:36:40,STABLE BEAMS,6799,0.000040318,0.000039417,5.0,HFET
402816:11589,166:166,04/11/26 19:37:03,STABLE BEAMS,6799,0.000041230,0.000040293,5.1,HFET
402816:11589,167:167,04/11/26 19:37:27,STABLE BEAMS,6799,0.000040273,0.000039372,5.0,HFET
402816:11589,168:168,04/11/26 19:37:50,STABLE BEAMS,6799,0.000039136,0.000038298,4.9,HFET
402816:11589,169:169,04/11/26 19:38:14,STABLE BEAMS,6799,0.000039161,0.000038303,4.9,HFET
402816:11589,170:170,04/11/26 19:38:37,STABLE BEAMS,6799,0.000039347,0.000037929,4.9,HFET
